labels,classes,predictions,time
Neutral,4,"[1.4282597e-05 5.2425680e-13 3.3267374e-05 4.7593628e-07 9.9992716e-01
 1.8836710e-05 5.9608487e-06]",2021-07-12 22:41:03.100414
Neutral,4,"[5.8939317e-03 1.0809224e-10 3.4680786e-03 4.6915513e-05 9.8748094e-01
 3.0079396e-03 1.0235286e-04]",2021-07-12 22:41:03.241424
Neutral,4,"[1.0806213e-05 2.0509998e-12 4.6390105e-06 5.6091926e-07 9.9996877e-01
 3.6858179e-07 1.4848897e-05]",2021-07-12 22:41:03.386435
Neutral,4,"[8.0250931e-04 1.9776073e-11 3.2406146e-04 1.9143279e-05 9.9867427e-01
 1.2846511e-04 5.1549268e-05]",2021-07-12 22:41:03.501443
Neutral,4,"[9.0298532e-03 2.7725908e-10 2.1508823e-03 7.7373297e-05 9.8761708e-01
 9.2401425e-04 2.0081167e-04]",2021-07-12 22:41:03.612983
Neutral,4,"[1.2551999e-05 1.3967534e-12 9.3111184e-06 4.6858125e-07 9.9996436e-01
 1.6294298e-06 1.1668717e-05]",2021-07-12 22:41:03.720981
Neutral,4,"[2.5302000e-02 9.6447050e-10 6.0945526e-03 1.2613226e-04 9.6557927e-01
 2.5248523e-03 3.7318689e-04]",2021-07-12 22:41:03.830993
Angry,0,"[6.4836705e-01 7.9291866e-08 5.5691712e-02 5.6041993e-04 2.7372041e-01
 2.0766415e-02 8.9384365e-04]",2021-07-12 22:41:03.949998
Neutral,4,"[8.95462111e-02 4.32225136e-08 2.36775959e-03 2.05879580e-04
 9.02948499e-01 1.08996166e-04 4.82257735e-03]",2021-07-12 22:41:04.063009
Neutral,4,"[1.3235670e-03 3.8910767e-11 1.7124940e-02 5.7744524e-05 8.0392218e-01
 1.7756839e-01 3.2107914e-06]",2021-07-12 22:41:04.191012
Neutral,4,"[1.3235670e-03 3.8910767e-11 1.7124940e-02 5.7744524e-05 8.0392218e-01
 1.7756839e-01 3.2107914e-06]",2021-07-12 22:41:04.299922
Angry,0,"[9.7804695e-01 4.3580918e-08 1.9653675e-03 7.1081956e-04 1.7059343e-02
 1.2201190e-03 9.9736848e-04]",2021-07-12 22:41:04.407933
Angry,0,"[7.1244437e-01 2.1282196e-08 1.7563211e-02 1.6893833e-03 2.2097498e-01
 4.6971671e-02 3.5644829e-04]",2021-07-12 22:41:04.527010
Angry,0,"[9.74751592e-01 1.46382291e-07 6.40935497e-03 4.71607898e-04
 1.01225292e-02 8.13121535e-03 1.13689486e-04]",2021-07-12 22:41:04.630012
Angry,0,"[9.8107314e-01 5.0452735e-07 1.1281570e-03 3.1505158e-04 1.4146583e-02
 1.0062003e-04 3.2359408e-03]",2021-07-12 22:41:04.731018
Angry,0,"[9.5222962e-01 2.4970620e-07 1.8237546e-03 8.1480824e-04 3.5995517e-02
 1.3775883e-04 8.9982757e-03]",2021-07-12 22:41:04.863043
Angry,0,"[9.5222962e-01 2.4970620e-07 1.8237546e-03 8.1480824e-04 3.5995517e-02
 1.3775883e-04 8.9982757e-03]",2021-07-12 22:41:04.982053
Angry,0,"[9.9739110e-01 5.4631379e-08 9.2722505e-05 3.4575962e-04 1.6774400e-03
 8.8676294e-05 4.0425861e-04]",2021-07-12 22:41:05.090060
Angry,0,"[8.5385138e-01 7.2382562e-08 1.0591870e-02 1.6528512e-03 4.5398999e-02
 8.8461839e-02 4.2921238e-05]",2021-07-12 22:41:05.199821
Angry,0,"[9.9748623e-01 1.0370458e-07 1.3232704e-04 2.4373185e-04 1.6278429e-03
 7.9000405e-05 4.3069091e-04]",2021-07-12 22:41:05.308830
Angry,0,"[9.9187940e-01 1.9291485e-06 3.1735687e-04 1.3104138e-04 4.7070701e-03
 1.4481204e-05 2.9488599e-03]",2021-07-12 22:41:05.406837
Angry,0,"[9.9894994e-01 4.3073197e-08 1.5812428e-04 1.5384360e-04 3.0658513e-04
 3.8530104e-04 4.6143574e-05]",2021-07-12 22:41:05.517845
Angry,0,"[9.9631351e-01 7.3290444e-08 1.9782016e-04 3.1585837e-04 2.5671073e-03
 1.4155419e-04 4.6406683e-04]",2021-07-12 22:41:05.659878
Angry,0,"[9.9631351e-01 7.3290444e-08 1.9782016e-04 3.1585837e-04 2.5671073e-03
 1.4155419e-04 4.6406683e-04]",2021-07-12 22:41:05.757881
Angry,0,"[9.9892741e-01 1.2360735e-07 3.0192939e-04 8.5743501e-05 2.3900416e-04
 4.0778721e-04 3.8070008e-05]",2021-07-12 22:41:05.864889
Angry,0,"[9.9939072e-01 1.9933948e-08 3.8073937e-05 1.9621497e-04 1.7489876e-04
 1.5458374e-04 4.5341516e-05]",2021-07-12 22:41:05.974898
Angry,0,"[9.9895030e-01 1.2590826e-08 5.3350759e-05 3.1109803e-04 3.6022207e-04
 2.6844555e-04 5.6738536e-05]",2021-07-12 22:41:06.074905
Angry,0,"[9.9951148e-01 1.0005608e-07 2.9248107e-05 1.2099302e-04 1.9175661e-04
 2.9656017e-05 1.1690109e-04]",2021-07-12 22:41:06.191920
Angry,0,"[9.9951148e-01 1.0005608e-07 2.9248107e-05 1.2099302e-04 1.9175661e-04
 2.9656017e-05 1.1690109e-04]",2021-07-12 22:41:06.287927
Angry,0,"[9.9980193e-01 4.9496251e-08 1.5377384e-05 7.7440745e-05 3.5576046e-05
 4.4440298e-05 2.5305964e-05]",2021-07-12 22:41:06.395938
Angry,0,"[9.9859756e-01 2.3410095e-08 9.1794071e-05 2.9075189e-04 6.8258477e-04
 2.2732903e-04 1.0997004e-04]",2021-07-12 22:41:06.506780
Angry,0,"[9.97928023e-01 1.79209660e-08 1.14246715e-04 3.86484287e-04
 1.12442137e-03 3.10833915e-04 1.35938652e-04]",2021-07-12 22:41:06.610793
Angry,0,"[9.9861455e-01 2.4026805e-08 8.9901063e-05 2.8226600e-04 6.7672913e-04
 2.2001377e-04 1.1649227e-04]",2021-07-12 22:41:06.716807
Angry,0,"[9.9923444e-01 1.0094334e-07 1.9277046e-04 8.0317310e-05 1.8239881e-04
 2.6801354e-04 4.2002885e-05]",2021-07-12 22:41:06.860716
Angry,0,"[9.9923444e-01 1.0094334e-07 1.9277046e-04 8.0317310e-05 1.8239881e-04
 2.6801354e-04 4.2002885e-05]",2021-07-12 22:41:06.962714
Angry,0,"[9.9941373e-01 1.7023692e-07 1.8680375e-04 5.0590803e-05 9.5645970e-05
 2.2605625e-04 2.7052953e-05]",2021-07-12 22:41:07.077164
Angry,0,"[9.99432981e-01 4.07233216e-08 7.06558058e-05 1.21007404e-04
 1.49171188e-04 1.87137208e-04 3.89813795e-05]",2021-07-12 22:41:07.181172
Angry,0,"[9.38929796e-01 1.20626908e-07 1.24306865e-02 6.49706519e-04
 3.34394686e-02 1.43648023e-02 1.85390571e-04]",2021-07-12 22:41:07.279178
Fearful,2,"[9.6284004e-04 2.4508157e-08 9.5654613e-01 1.4428690e-05 3.5138472e-04
 4.2124368e-02 7.5517261e-07]",2021-07-12 22:41:07.390166
Fearful,2,"[1.8793916e-02 2.4732463e-10 8.6905712e-01 2.9091116e-03 7.0867829e-02
 3.3291399e-02 5.0805770e-03]",2021-07-12 22:41:07.653107
Fearful,2,"[1.8793916e-02 2.4732463e-10 8.6905712e-01 2.9091116e-03 7.0867829e-02
 3.3291399e-02 5.0805770e-03]",2021-07-12 22:41:07.758115
Sad,5,"[3.3026689e-04 2.3093595e-10 8.0729946e-03 2.9928877e-05 9.0585435e-03
 9.8250824e-01 4.1062078e-09]",2021-07-12 22:41:08.062144
Sad,5,"[3.3026689e-04 2.3093595e-10 8.0729946e-03 2.9928877e-05 9.0585435e-03
 9.8250824e-01 4.1062078e-09]",2021-07-12 22:41:08.170149
Fearful,2,"[1.1311202e-02 1.5869413e-10 6.3991976e-01 7.4664684e-04 3.2029745e-01
 2.2528309e-02 5.1965998e-03]",2021-07-12 22:41:08.277169
