labels,classes,predictions,time
Neutral,4,"[8.2987945e-06 1.0769327e-12 7.1854060e-06 2.7769909e-07 9.9997294e-01
 1.3120988e-06 1.0034994e-05]",2025-03-15 13:31:35.376010
Neutral,4,"[5.3748937e-04 2.0800929e-11 2.1665664e-04 1.0050256e-05 9.9910396e-01
 7.4825351e-05 5.6910067e-05]",2025-03-15 13:31:35.609805
Neutral,4,"[2.2917223e-04 5.4314964e-12 1.6246516e-04 6.6965790e-06 9.9949086e-01
 8.1057180e-05 2.9705903e-05]",2025-03-15 13:31:35.775170
Neutral,4,"[2.4282771e-04 7.5053557e-12 1.4700936e-04 6.1662713e-06 9.9950981e-01
 5.8970229e-05 3.5180372e-05]",2025-03-15 13:31:35.918450
Neutral,4,"[3.0103998e-04 5.7081319e-12 3.1112076e-04 7.1274881e-06 9.9910045e-01
 2.5375045e-04 2.6474583e-05]",2025-03-15 13:31:36.061750
Neutral,4,"[1.5848872e-04 1.9286202e-12 3.4592758e-04 4.5591860e-06 9.9870777e-01
 7.7585701e-04 7.4372219e-06]",2025-03-15 13:31:36.196256
Neutral,4,"[4.6642635e-05 1.5222212e-12 6.6898167e-05 1.2264975e-06 9.9982941e-01
 4.5075773e-05 1.0819947e-05]",2025-03-15 13:31:36.345171
Neutral,4,"[1.1833266e-05 1.4274682e-12 7.9341207e-06 4.6333437e-07 9.9996662e-01
 1.2568014e-06 1.1989914e-05]",2025-03-15 13:31:36.479259
Neutral,4,"[1.2081828e-04 1.0115988e-11 3.9449336e-05 3.9758684e-06 9.9978834e-01
 5.4116790e-06 4.1933894e-05]",2025-03-15 13:31:36.617268
Neutral,4,"[1.4370074e-05 2.4223820e-12 6.4432757e-06 6.0002498e-07 9.9996114e-01
 6.4951098e-07 1.6797914e-05]",2025-03-15 13:31:36.757184
Neutral,4,"[1.0744902e-04 1.0219963e-11 3.6217854e-05 3.4156119e-06 9.9980599e-01
 4.6505425e-06 4.2203315e-05]",2025-03-15 13:31:36.897271
Neutral,4,"[2.63408128e-05 3.42674131e-12 1.11144145e-05 1.02539639e-06
 9.99939680e-01 1.31490856e-06 2.05038050e-05]",2025-03-15 13:31:37.040807
Neutral,4,"[1.19051234e-04 2.14781361e-12 1.86562702e-05 5.78794024e-05
 9.99708951e-01 1.29565171e-06 9.40568279e-05]",2025-03-15 13:31:37.176867
Neutral,4,"[6.1865489e-05 2.5588242e-12 1.4586678e-05 6.7390529e-06 9.9988341e-01
 2.0660821e-06 3.1326734e-05]",2025-03-15 13:31:37.311883
Neutral,4,"[9.4621110e-04 2.5111482e-12 2.6720049e-04 1.3725862e-03 9.9691510e-01
 2.3633056e-05 4.7517446e-04]",2025-03-15 13:31:37.458437
Neutral,4,"[1.3558432e-03 2.1694942e-12 5.0148100e-04 2.5654458e-03 9.9486178e-01
 5.2973126e-05 6.6256849e-04]",2025-03-15 13:31:37.593852
Neutral,4,"[8.2311562e-05 2.5869829e-12 2.9878927e-05 6.5905374e-06 9.9984527e-01
 6.6522311e-06 2.9207025e-05]",2025-03-15 13:31:37.735204
Neutral,4,"[1.0047788e-03 3.2449174e-12 4.2259682e-04 6.7974551e-04 9.9746132e-01
 6.1011800e-05 3.7053257e-04]",2025-03-15 13:31:37.873278
Neutral,4,"[2.9165047e-04 3.3714771e-12 7.6274759e-05 1.1459592e-04 9.9933857e-01
 7.0326018e-06 1.7185109e-04]",2025-03-15 13:31:38.012216
Neutral,4,"[5.0917137e-05 4.4932174e-12 9.1213433e-06 3.9007168e-06 9.9990487e-01
 8.2275096e-07 3.0285568e-05]",2025-03-15 13:31:38.159832
Neutral,4,"[3.7820305e-06 9.7001801e-13 1.9077897e-06 2.0856130e-07 9.9998379e-01
 1.4179307e-07 1.0094519e-05]",2025-03-15 13:31:38.291527
Neutral,4,"[2.4666851e-06 7.7241588e-13 1.3018168e-06 1.4528625e-07 9.9998701e-01
 8.3536285e-08 9.0008161e-06]",2025-03-15 13:31:38.429323
Neutral,4,"[4.1551871e-06 1.0270684e-12 1.8380614e-06 2.5086175e-07 9.9998319e-01
 1.2865291e-07 1.0434870e-05]",2025-03-15 13:31:38.573720
Neutral,4,"[9.1525101e-07 5.2681427e-13 4.5192644e-07 6.8630463e-08 9.9999094e-01
 1.6437008e-08 7.5002677e-06]",2025-03-15 13:31:38.714256
Neutral,4,"[1.92230345e-06 5.13914486e-13 1.38226665e-06 1.06943894e-07
 9.99989510e-01 1.17252327e-07 6.92153662e-06]",2025-03-15 13:31:38.851609
Neutral,4,"[3.6601352e-07 4.1868828e-13 1.3965271e-07 3.7287403e-08 9.9999249e-01
 2.4679987e-09 7.0417823e-06]",2025-03-15 13:31:38.994120
Neutral,4,"[5.2901087e-06 1.0679653e-12 3.1064174e-06 2.5067411e-07 9.9998069e-01
 3.0513309e-07 1.0335449e-05]",2025-03-15 13:31:39.129364
Neutral,4,"[1.9749901e-05 1.8383814e-12 1.2158025e-05 7.5109108e-07 9.9995136e-01
 2.2785073e-06 1.3745180e-05]",2025-03-15 13:31:39.277489
Neutral,4,"[1.8909192e-02 1.0639279e-09 3.9195292e-02 1.0881327e-03 8.9481455e-01
 4.4947455e-04 4.5543298e-02]",2025-03-15 13:31:39.412601
Neutral,4,"[7.9706414e-03 1.7487196e-09 1.7435916e-02 6.0148328e-04 8.3492988e-01
 3.7390477e-05 1.3902470e-01]",2025-03-15 13:31:39.550520
Neutral,4,"[5.8947457e-03 1.1221626e-10 6.2096245e-03 2.5145838e-04 9.8551822e-01
 6.9416483e-04 1.4317977e-03]",2025-03-15 13:31:39.695397
Neutral,4,"[1.2187899e-02 9.3717500e-10 3.3271901e-02 9.8532636e-04 8.8203901e-01
 2.0083049e-04 7.1315005e-02]",2025-03-15 13:31:39.831754
Neutral,4,"[2.46405490e-02 3.13939819e-10 3.91520739e-01 5.10189543e-03
 4.62848961e-01 3.16451420e-03 1.12723224e-01]",2025-03-15 13:31:39.975810
Fearful,2,"[5.8265468e-03 1.0073004e-10 9.6357495e-01 8.4211968e-04 1.4119681e-02
 3.6464012e-03 1.1990305e-02]",2025-03-15 13:31:40.114424
Fearful,2,"[6.7136632e-03 9.2317869e-11 9.1204870e-01 2.1286872e-03 2.4334855e-02
 1.8833908e-03 5.2890707e-02]",2025-03-15 13:31:40.250669
Fearful,2,"[2.8004788e-02 1.8841313e-10 6.5019602e-01 7.3262942e-03 2.1914430e-01
 6.2448401e-03 8.9083761e-02]",2025-03-15 13:31:40.421022
Neutral,4,"[1.9952558e-02 2.2670721e-10 2.0407002e-02 9.1446534e-04 8.3206868e-01
 1.2661637e-01 4.0877476e-05]",2025-03-15 13:31:40.563647
Neutral,4,"[9.8581672e-02 8.8558488e-10 2.7251253e-02 4.8442069e-03 5.9930402e-01
 2.6994777e-01 7.1114555e-05]",2025-03-15 13:31:40.702084
Sad,5,"[6.8209018e-03 3.9076847e-10 8.3018867e-03 5.4374663e-04 8.1383251e-02
 9.0294993e-01 2.8647167e-07]",2025-03-15 13:31:40.841341
Neutral,4,"[1.8164010e-05 8.9506885e-13 2.8280600e-05 5.1578758e-07 9.9993014e-01
 1.5297235e-05 7.6016818e-06]",2025-03-15 13:31:40.981910
Neutral,4,"[2.5927062e-05 1.1854961e-12 3.9261689e-05 7.0192596e-07 9.9990213e-01
 2.2905619e-05 8.9739551e-06]",2025-03-15 13:31:41.119422
Neutral,4,"[1.3159790e-05 1.4785925e-12 8.4108915e-06 5.2333075e-07 9.9996436e-01
 1.3901479e-06 1.2219768e-05]",2025-03-15 13:31:41.259193
Neutral,4,"[1.3085849e-05 6.3931429e-13 2.1723054e-05 4.1638251e-07 9.9994695e-01
 1.1526712e-05 6.2847394e-06]",2025-03-15 13:31:41.401705
Neutral,4,"[2.2854717e-06 6.7316405e-13 1.5455473e-06 1.1874428e-07 9.9998784e-01
 1.1856674e-07 8.0972786e-06]",2025-03-15 13:31:41.532075
Neutral,4,"[5.7093084e-06 8.1632314e-13 4.7536341e-06 2.3908279e-07 9.9998009e-01
 7.2985665e-07 8.5266038e-06]",2025-03-15 13:31:41.677662
Neutral,4,"[1.2195086e-06 4.4414212e-13 9.6698022e-07 6.7349035e-08 9.9999130e-01
 6.6926575e-08 6.4561841e-06]",2025-03-15 13:31:41.815422
Neutral,4,"[1.0493142e-05 1.2782797e-12 7.5300914e-06 4.1160112e-07 9.9996924e-01
 1.2277201e-06 1.1106456e-05]",2025-03-15 13:31:41.953570
Neutral,4,"[8.2543274e-06 9.0359160e-13 7.7102086e-06 3.0897502e-07 9.9997330e-01
 1.5649200e-06 8.8486941e-06]",2025-03-15 13:31:42.093787
Neutral,4,"[1.0641329e-06 4.5987021e-13 7.1875371e-07 6.5618465e-08 9.9999142e-01
 3.9339991e-08 6.7125702e-06]",2025-03-15 13:31:42.242387
Neutral,4,"[1.6750637e-05 1.4766750e-12 1.3563501e-05 5.7683724e-07 9.9995410e-01
 3.0642623e-06 1.1845379e-05]",2025-03-15 13:31:42.375169
Neutral,4,"[6.4164433e-06 1.0506679e-12 4.3352607e-06 2.8300443e-07 9.9997842e-01
 5.3633352e-07 9.9905137e-06]",2025-03-15 13:31:42.515468
Neutral,4,"[1.4209816e-05 1.1242887e-12 1.4016837e-05 4.8150429e-07 9.9995768e-01
 3.7957564e-06 9.8255023e-06]",2025-03-15 13:31:42.649471
Neutral,4,"[1.4401514e-05 1.3487750e-12 1.2277102e-05 4.9613698e-07 9.9995887e-01
 2.7194892e-06 1.1203873e-05]",2025-03-15 13:31:42.792456
Neutral,4,"[2.32393495e-06 6.67086503e-13 1.49678931e-06 1.28417440e-07
 9.99987960e-01 1.12013026e-07 7.99398731e-06]",2025-03-15 13:31:42.931691
Neutral,4,"[1.2005771e-05 1.4846036e-12 1.0961340e-05 3.4445188e-07 9.9996269e-01
 2.2211025e-06 1.1639956e-05]",2025-03-15 13:31:43.107299
Happy,3,"[1.1615468e-07 1.4375728e-22 5.0499245e-09 9.9999869e-01 3.5518462e-07
 1.2809408e-09 8.8436514e-07]",2025-03-15 13:31:43.272319
Happy,3,"[1.3330385e-10 1.3787012e-27 6.3215787e-12 1.0000000e+00 1.0065033e-09
 7.0639398e-13 2.5941334e-08]",2025-03-15 13:31:43.411074
Happy,3,"[7.1045405e-09 1.4757167e-24 3.1389155e-10 9.9999952e-01 2.6789202e-08
 3.2239773e-11 4.6579302e-07]",2025-03-15 13:31:43.552695
Happy,3,"[1.1597102e-12 7.1282184e-31 3.7867113e-14 1.0000000e+00 1.5487507e-11
 1.1478405e-15 4.8441855e-09]",2025-03-15 13:31:43.687446
Happy,3,"[2.6918274e-09 2.4252890e-25 1.0268614e-10 9.9999988e-01 1.2795679e-08
 1.5493946e-11 1.3028288e-07]",2025-03-15 13:31:43.827065
Happy,3,"[2.82124724e-09 2.66285619e-25 1.39470643e-10 9.99999762e-01
 1.32716895e-08 1.76105675e-11 1.87952779e-07]",2025-03-15 13:31:43.966335
