labels,classes,predictions,time
Happy,3,"[5.23073715e-04 7.47777563e-07 2.02599168e-03 8.83958220e-01
 1.11467674e-01 1.77486870e-03 2.49465375e-04]",2021-05-04 21:52:31.252619
Happy,3,"[3.3264627e-05 1.6754596e-08 8.0031212e-05 9.7723866e-01 2.2234673e-02
 3.7230874e-04 4.1054209e-05]",2021-05-04 21:52:31.386488
Happy,3,"[1.11864385e-04 7.89562051e-08 3.10092932e-04 9.75451171e-01
 2.24417690e-02 1.63772865e-03 4.73761211e-05]",2021-05-04 21:52:31.474526
Happy,3,"[2.36893087e-04 5.17422514e-08 4.18624550e-04 9.63906884e-01
 3.14602628e-02 3.96371074e-03 1.35935425e-05]",2021-05-04 21:52:31.568325
Happy,3,"[1.0557713e-04 9.5548721e-08 2.6707613e-04 9.5136440e-01 4.7004160e-02
 1.1080450e-03 1.5058133e-04]",2021-05-04 21:52:31.660261
Happy,3,"[3.5667792e-05 1.4606182e-07 4.4225420e-05 9.9353409e-01 5.7221688e-03
 6.3655886e-04 2.7175827e-05]",2021-05-04 21:52:31.749276
Happy,3,"[6.6082802e-04 1.7445458e-06 1.1510320e-03 8.5828841e-01 1.3713977e-01
 2.6830414e-03 7.5092910e-05]",2021-05-04 21:52:31.823301
Happy,3,"[3.6137248e-05 7.9570285e-08 7.5529548e-05 9.6033895e-01 3.9137617e-02
 3.8442065e-04 2.7280999e-05]",2021-05-04 21:52:31.919384
Happy,3,"[4.8283007e-04 9.2647412e-07 1.1300165e-03 9.2039609e-01 6.3441299e-02
 1.4490444e-02 5.8365724e-05]",2021-05-04 21:52:32.013390
Happy,3,"[4.8220824e-04 2.2397630e-06 1.6087586e-03 9.3614656e-01 5.4252855e-02
 7.3840157e-03 1.2331258e-04]",2021-05-04 21:52:32.096963
Happy,3,"[1.2572070e-04 7.6473390e-07 6.2277616e-04 9.4027752e-01 5.6817502e-02
 2.1261207e-03 2.9642044e-05]",2021-05-04 21:52:32.171970
Happy,3,"[2.2215428e-04 9.2002557e-07 1.9783105e-03 9.3634915e-01 5.8561921e-02
 2.5343080e-03 3.5333668e-04]",2021-05-04 21:52:32.257376
Happy,3,"[3.96027230e-04 3.57387580e-06 3.31330346e-03 8.76897573e-01
 1.13795206e-01 5.18626021e-03 4.07969463e-04]",2021-05-04 21:52:32.346864
Happy,3,"[1.3311929e-04 1.6959660e-06 3.5760012e-03 9.5838732e-01 3.6524922e-02
 1.1467631e-03 2.3022635e-04]",2021-05-04 21:52:32.432669
Happy,3,"[5.4338365e-04 7.2834837e-06 3.1804247e-03 8.9505607e-01 8.7802246e-02
 1.3186537e-02 2.2408400e-04]",2021-05-04 21:52:32.510519
Happy,3,"[1.34245178e-03 1.69949162e-05 1.18002994e-02 9.10204053e-01
 6.13911971e-02 1.46608725e-02 5.84126858e-04]",2021-05-04 21:52:32.589525
Happy,3,"[1.4203466e-03 1.6147922e-05 5.0608120e-03 9.2994654e-01 4.3824576e-02
 1.8780142e-02 9.5138000e-04]",2021-05-04 21:52:32.681051
Happy,3,"[1.4412546e-03 1.6486270e-05 3.9157900e-03 9.3021613e-01 4.6676870e-02
 1.7344166e-02 3.8938245e-04]",2021-05-04 21:52:32.760055
Happy,3,"[3.6542069e-03 1.2460750e-04 7.1402588e-03 9.0353268e-01 7.4588791e-02
 1.0776364e-02 1.8315416e-04]",2021-05-04 21:52:32.833991
Happy,3,"[1.3777476e-03 1.6912212e-05 4.4620507e-03 9.3363607e-01 4.4517521e-02
 1.5716473e-02 2.7309143e-04]",2021-05-04 21:52:32.918541
Happy,3,"[9.86200850e-03 3.70510010e-04 2.11141743e-02 7.23987579e-01
 1.35626972e-01 1.08029366e-01 1.00931642e-03]",2021-05-04 21:52:32.998546
Happy,3,"[3.3659742e-03 1.4656500e-04 9.5141791e-03 8.2440156e-01 1.1346464e-01
 4.8599064e-02 5.0805334e-04]",2021-05-04 21:52:33.088983
Happy,3,"[1.2483493e-02 4.3118658e-04 5.9037004e-02 7.1868896e-01 1.6828282e-01
 3.9314993e-02 1.7615942e-03]",2021-05-04 21:52:33.175999
Happy,3,"[6.1578471e-03 3.1277406e-04 2.1826396e-02 8.0430132e-01 7.2585791e-02
 9.3946949e-02 8.6888397e-04]",2021-05-04 21:52:33.266005
Happy,3,"[0.01898487 0.0014449  0.04299691 0.6855616  0.15734582 0.08841392
 0.00525188]",2021-05-04 21:52:33.348044
Happy,3,"[1.51357315e-02 4.33638110e-04 1.50654037e-02 7.07321227e-01
 1.38694048e-01 1.22953795e-01 3.96135845e-04]",2021-05-04 21:52:33.442055
Happy,3,"[0.02921402 0.00221639 0.08762001 0.52394944 0.28288382 0.0707474
 0.00336881]",2021-05-04 21:52:33.535188
Happy,3,"[0.02994608 0.00247663 0.09879977 0.3744111  0.34397927 0.13819404
 0.01219315]",2021-05-04 21:52:33.623475
Happy,3,"[0.02894771 0.00386056 0.07810978 0.5386051  0.21406996 0.13206078
 0.00434608]",2021-05-04 21:52:33.706740
Happy,3,"[0.03007239 0.00491877 0.11308414 0.49336123 0.18626897 0.16457996
 0.00771469]",2021-05-04 21:52:33.789617
Happy,3,"[0.02561882 0.00304095 0.09514429 0.48465744 0.26412314 0.11955211
 0.00786323]",2021-05-04 21:52:33.876082
Happy,3,"[0.03106165 0.00231077 0.09596788 0.43044072 0.34498376 0.07966494
 0.0155703 ]",2021-05-04 21:52:33.957872
Happy,3,"[0.01828573 0.00251985 0.04544304 0.62477636 0.18518217 0.12184945
 0.00194338]",2021-05-04 21:52:34.037848
Happy,3,"[0.02995303 0.00450725 0.12968722 0.30311885 0.25192308 0.27383065
 0.00697987]",2021-05-04 21:52:34.114854
Happy,3,"[0.03440415 0.00589133 0.06675854 0.51201427 0.28210738 0.09570743
 0.00311696]",2021-05-04 21:52:34.189869
Neutral,4,"[0.04903564 0.00686922 0.10500268 0.35885462 0.40261602 0.07176104
 0.00586071]",2021-05-04 21:52:34.270884
Happy,3,"[0.03762154 0.00729689 0.08916652 0.37982666 0.35055554 0.12554686
 0.00998589]",2021-05-04 21:52:34.345894
Happy,3,"[0.0363833  0.00225243 0.10595558 0.4007265  0.3485265  0.09097019
 0.01518552]",2021-05-04 21:52:34.428904
Happy,3,"[0.04007654 0.00992571 0.0870305  0.350846   0.32507303 0.17154607
 0.01550208]",2021-05-04 21:52:34.514019
Neutral,4,"[0.02073583 0.00165298 0.08714277 0.37111515 0.47703826 0.03981145
 0.00250351]",2021-05-04 21:52:34.606043
Neutral,4,"[0.02701228 0.004156   0.1293787  0.27686074 0.45598528 0.10053879
 0.00606821]",2021-05-04 21:52:34.702054
Neutral,4,"[9.3300696e-03 4.8824702e-04 3.2107800e-02 2.2077896e-01 7.1960324e-01
 1.5710281e-02 1.9813674e-03]",2021-05-04 21:52:34.793643
Neutral,4,"[0.03205841 0.00582785 0.09898628 0.2796928  0.5093326  0.06625406
 0.00784793]",2021-05-04 21:52:34.873649
Neutral,4,"[0.01715966 0.00248417 0.05528333 0.30308613 0.5569145  0.0583588
 0.00671343]",2021-05-04 21:52:34.953277
Neutral,4,"[0.02143746 0.00217651 0.04111552 0.33272412 0.5553733  0.03935567
 0.00781746]",2021-05-04 21:52:35.042422
Neutral,4,"[0.03442959 0.00881519 0.12856635 0.3710639  0.39572257 0.05969658
 0.00170583]",2021-05-04 21:52:35.123523
Neutral,4,"[0.01706653 0.02078737 0.11856135 0.19610599 0.52925545 0.11048602
 0.00773724]",2021-05-04 21:52:35.209039
Neutral,4,"[0.0105881  0.00698979 0.041056   0.2230647  0.65979844 0.04905349
 0.0094495 ]",2021-05-04 21:52:35.304009
Neutral,4,"[0.02259822 0.01041923 0.1258931  0.31664076 0.42367506 0.08316401
 0.01760967]",2021-05-04 21:52:35.391524
Neutral,4,"[0.0251429  0.00384507 0.03647491 0.293601   0.5232459  0.09811831
 0.01957195]",2021-05-04 21:52:35.477046
Neutral,4,"[0.02098025 0.00286006 0.03114213 0.37987703 0.49061006 0.05907476
 0.01545563]",2021-05-04 21:52:35.572982
Neutral,4,"[9.5573412e-03 5.2615354e-04 1.9260766e-02 3.4970233e-01 5.6616169e-01
 4.4095900e-02 1.0695763e-02]",2021-05-04 21:52:35.660997
Neutral,4,"[0.01048721 0.00100024 0.02488342 0.37906277 0.49283224 0.06084418
 0.03088997]",2021-05-04 21:52:35.743008
Happy,3,"[3.7047670e-03 1.1186734e-04 1.0358463e-02 5.7091045e-01 3.8827702e-01
 2.4095941e-02 2.5414894e-03]",2021-05-04 21:52:35.818014
Neutral,4,"[0.02479791 0.00181132 0.03836732 0.43296427 0.4350357  0.06011228
 0.00691127]",2021-05-04 21:52:35.897134
Neutral,4,"[0.02515905 0.00775459 0.06582075 0.2637072  0.5484836  0.07985739
 0.00921749]",2021-05-04 21:52:35.980172
Neutral,4,"[0.01436874 0.0017789  0.05153412 0.279453   0.5797492  0.0581975
 0.01491846]",2021-05-04 21:52:36.071177
Neutral,4,"[0.00899715 0.0012329  0.02740003 0.32820496 0.5588106  0.05953458
 0.01581976]",2021-05-04 21:52:36.153336
Neutral,4,"[0.03198695 0.00799068 0.11366177 0.3124342  0.4528439  0.0604047
 0.02067784]",2021-05-04 21:52:36.233852
Neutral,4,"[0.02928064 0.01779786 0.08573765 0.2519291  0.48556688 0.10986508
 0.0198227 ]",2021-05-04 21:52:36.331469
Happy,3,"[0.01907167 0.0028287  0.03491062 0.49177572 0.3857403  0.06182693
 0.00384609]",2021-05-04 21:52:36.417981
Happy,3,"[0.01051107 0.00109292 0.02429126 0.6356043  0.299038   0.02641122
 0.00305116]",2021-05-04 21:52:36.498988
Happy,3,"[1.8442204e-03 7.0100214e-05 5.9555783e-03 5.6605196e-01 4.1390997e-01
 1.1259562e-02 9.0855605e-04]",2021-05-04 21:52:36.575994
Happy,3,"[7.9858899e-03 6.1041734e-04 1.9913897e-02 6.5507531e-01 3.0037156e-01
 1.5401106e-02 6.4185774e-04]",2021-05-04 21:52:36.656000
Happy,3,"[1.1935308e-02 2.7738936e-04 1.1791222e-02 6.1656725e-01 3.2961646e-01
 2.6476340e-02 3.3360089e-03]",2021-05-04 21:52:36.755363
Neutral,4,"[7.45063368e-03 1.60043361e-04 1.15215955e-02 4.62902129e-01
 4.94209379e-01 2.15487126e-02 2.20748992e-03]",2021-05-04 21:52:36.844372
Happy,3,"[0.00836077 0.00068734 0.02039244 0.5528207  0.39708537 0.01750022
 0.00315318]",2021-05-04 21:52:36.935973
Happy,3,"[3.6193982e-03 7.1467788e-05 9.3888193e-03 7.5765306e-01 2.2102171e-01
 6.2831892e-03 1.9623884e-03]",2021-05-04 21:52:37.016985
Happy,3,"[1.3848227e-03 2.5051088e-05 9.7162202e-03 6.7867780e-01 3.0352870e-01
 5.4190862e-03 1.2483621e-03]",2021-05-04 21:52:37.110489
Happy,3,"[1.3417065e-02 3.9759741e-04 3.1924300e-02 5.2146822e-01 3.4354106e-01
 8.7297782e-02 1.9540843e-03]",2021-05-04 21:52:37.200136
Happy,3,"[5.3965631e-03 4.9108552e-05 1.0196696e-02 6.3177323e-01 3.0139312e-01
 5.0111949e-02 1.0794005e-03]",2021-05-04 21:52:37.283142
Happy,3,"[0.01261608 0.00153228 0.02454306 0.5380431  0.32942167 0.09004503
 0.0037989 ]",2021-05-04 21:52:37.368900
Happy,3,"[6.8221460e-03 5.1941368e-04 3.2343321e-02 5.6809217e-01 3.4878781e-01
 3.7964571e-02 5.4705618e-03]",2021-05-04 21:52:37.450909
Happy,3,"[0.0098183  0.00065848 0.02460345 0.56320363 0.37825528 0.01862715
 0.00483368]",2021-05-04 21:52:37.531813
Neutral,4,"[7.1420916e-03 3.0540815e-04 2.9183390e-02 3.9083904e-01 5.5021328e-01
 1.6309947e-02 6.0069184e-03]",2021-05-04 21:52:37.621823
Happy,3,"[0.00825619 0.00060741 0.0346661  0.52405196 0.38229606 0.04680369
 0.00331857]",2021-05-04 21:52:37.698836
Happy,3,"[0.01207155 0.00073351 0.05117211 0.45932487 0.41749436 0.05588159
 0.00332203]",2021-05-04 21:52:37.785857
Happy,3,"[1.0456775e-02 5.3081231e-04 5.7135608e-02 5.6573886e-01 3.1409132e-01
 4.8864547e-02 3.1821018e-03]",2021-05-04 21:52:37.877462
Happy,3,"[0.03834337 0.00264039 0.09065579 0.3659797  0.34798428 0.14843088
 0.00596556]",2021-05-04 21:52:37.957470
Happy,3,"[3.8944767e-03 6.5930253e-05 1.6107582e-02 7.8718257e-01 1.7801104e-01
 1.4000269e-02 7.3817716e-04]",2021-05-04 21:52:38.036474
Happy,3,"[0.04048579 0.00525926 0.08049918 0.40043512 0.37295067 0.09260939
 0.00776055]",2021-05-04 21:52:38.116194
Happy,3,"[1.0869305e-02 1.8863275e-04 1.1197091e-02 6.7396820e-01 2.5057143e-01
 5.1737580e-02 1.4676850e-03]",2021-05-04 21:52:38.208733
Happy,3,"[5.4848110e-03 1.9621044e-04 1.6600426e-02 5.5110538e-01 4.0592346e-01
 1.9053612e-02 1.6361321e-03]",2021-05-04 21:52:38.289889
Happy,3,"[9.1286115e-03 4.7556232e-04 1.8715257e-02 4.9692166e-01 4.4929355e-01
 2.4022257e-02 1.4431891e-03]",2021-05-04 21:52:38.366902
