epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.47790125012397766,0.5964693427085876,0.01,0.47790658473968506,0.5800316333770752
1,0.5083252191543579,0.5088926553726196,0.01,0.5357022881507874,0.48223549127578735
2,0.5328873991966248,0.45014962553977966,0.01,0.6040826439857483,0.4052570164203644
0,0.2415524572134018,0.757365345954895,0.01,0.2515346109867096,0.7087960243225098
1,0.2595459818840027,0.6790459156036377,0.01,0.3039899468421936,0.6349283456802368
2,0.2851065397262573,0.6253650784492493,0.01,0.314453125,0.5937476754188538
3,0.30920249223709106,0.5823100805282593,0.01,0.3844866156578064,0.5285212397575378
4,0.3364019989967346,0.5468125939369202,0.01,0.4034598171710968,0.5096492171287537
5,0.36164870858192444,0.5179657936096191,0.01,0.3984375,0.5015782713890076
6,0.39104509353637695,0.49107661843299866,0.01,0.4705636203289032,0.42991429567337036
7,0.4183840751647949,0.4690786302089691,0.01,0.4910714328289032,0.4161169230937958
8,0.43669143319129944,0.45206138491630554,0.01,0.5188336968421936,0.3892894685268402
9,0.4443630874156952,0.43912944197654724,0.01,0.5270647406578064,0.37615036964416504
10,0.46469295024871826,0.4258165955543518,0.01,0.5209263563156128,0.3847644031047821
11,0.46887749433517456,0.4182208180427551,0.01,0.5301339030265808,0.3757627308368683
12,0.48401159048080444,0.41041120886802673,0.01,0.5594307780265808,0.35422199964523315
13,0.49102067947387695,0.40264827013015747,0.01,0.5345982313156128,0.3673394024372101
14,0.49621647596359253,0.3979252874851227,0.01,0.5666852593421936,0.3467755615711212
15,0.5047599077224731,0.39180177450180054,0.01,0.57421875,0.3375541567802429
16,0.5065034627914429,0.3886105716228485,0.01,0.5532923936843872,0.36262091994285583
17,0.514733076095581,0.3843246400356293,0.01,0.5708705186843872,0.34125593304634094
18,0.5231370329856873,0.3795901834964752,0.01,0.5888671875,0.3341825306415558
19,0.5254733562469482,0.37656521797180176,0.01,0.5604073405265808,0.3635406196117401
20,0.5295881628990173,0.37464556097984314,0.01,0.5824497938156128,0.3357028663158417
21,0.5355859994888306,0.37093645334243774,0.01,0.5803571343421936,0.33917421102523804
22,0.5357603430747986,0.36918798089027405,0.01,0.576171875,0.3435732424259186
0,0.24263346195220947,0.758687436580658,0.01,0.25390625,0.7089577913284302
1,0.258569598197937,0.6789059638977051,0.01,0.2932477593421936,0.6382293105125427
2,0.2793179154396057,0.6287590861320496,0.01,0.314453125,0.5939275622367859
3,0.2982180714607239,0.5880475640296936,0.01,0.3384486734867096,0.566210150718689
4,0.32852110266685486,0.5521406531333923,0.01,0.3798828125,0.5199289917945862
5,0.3601841330528259,0.5189804434776306,0.01,0.4048549234867096,0.48485589027404785
6,0.38560518622398376,0.4938012659549713,0.01,0.4870256781578064,0.4288225471973419
7,0.41032883524894714,0.47052866220474243,0.01,0.4931640625,0.41513094305992126
8,0.4316002428531647,0.45291557908058167,0.01,0.5083705186843872,0.3990548551082611
